time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1738	1.33654	5.18899	0.219362	0.184065	radar	4.76717	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3997	1.41859	5.1609	0.241303	0.199544	lidar	1.30184	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6339	1.50265	5.09319	0.264296	0.217767	radar	4.24164	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8608	1.53719	5.06401	0.261592	0.202209	lidar	1.29364	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1249	1.58851	5.09495	0.262667	0.19058	radar	1.78121	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4027	1.63677	5.12827	0.26095	0.176719	lidar	1.81571	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.635	1.69497	5.08859	0.26797	0.175819	radar	0.953391	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8656	1.76089	5.07119	0.27698	0.176324	lidar	0.40139	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1197	1.84929	5.11383	0.291616	0.181671	radar	1.35429	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3625	1.88073	5.09774	0.281691	0.159346	lidar	0.679296	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.617	1.94139	5.13143	0.282357	0.1491	radar	0.969515	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8178	2.0745	5.10022	0.321513	0.186928	lidar	3.42906	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.082	2.17914	5.17434	0.335968	0.189637	radar	3.60339	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2852	2.31978	5.14856	0.373964	0.22358	lidar	2.64167	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4686	2.46369	5.05934	0.417217	0.266683	radar	10.9914	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7169	2.58038	5.08562	0.433766	0.270095	lidar	0.839098	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
